id,title,album_id,genre_id,len,rating,count
1,Another One Bites The Dust,1,1,217103,100,55
2,Asche Zu Asche,2,2,231810,100,79
3,Beauty School Dropout,3,3,239960,100,48
4,Black Dog,4,1,296620,100,109
5,Bring The Boys Back Home,5,1,87118,100,33
6,Circles,6,6,355369,60,54
7,Comfortably Numb,5,1,384130,100,36
8,Crazy Little Thing Called Love,1,1,163631,100,38
9,Electric Funeral,9,9,293015,100,44
10,Fat Bottomed Girls,1,1,257515,100,38
11,For Those About To Rock (We Salute You),11,1,353750,100,84
12,Four Sticks,4,1,284421,100,84
13,Furious Angels,13,3,330004,100,54
14,Gelle,6,14,199836,60,45
15,Going To California,4,1,215666,100,100
16,Grease,3,3,205792,100,42
17,Hand of Doom,9,9,429609,100,36
18,Hells Bells,11,1,312946,100,82
19,Hey You,5,1,282305,100,23
20,I Worry,6,14,341315,100,33
21,Iron Man,9,9,358530,100,39
22,Is There Anybody Out There?,5,1,160679,100,26
23,It was a Very Good Year,1,23,268852,100,39
24,Its Your Move,6,14,245002,100,40
25,Jack the Stripper/Fairies Wear Boots,9,9,373995,100,35
26,Killer Queen,1,1,181368,100,34
27,Laichzeit,2,2,262844,100,41
28,Let me Down Easy,6,14,331441,100,43
29,Misty Mountain Hop,4,1,278831,100,88
30,No Low Down,6,14,245760,100,39
31,Now You Are Gone,1,23,187559,100,52
32,Outside The Wall,5,1,104437,100,16
33,Paranoid,9,9,172930,100,36
34,Planet Caravan,9,9,274938,100,38
35,Pretty Jeanie,6,14,225175,100,34
36,Rammstein,2,2,265090,100,45
37,Rat Salad,9,9,150230,100,46
38,Rock & Roll,4,1,220891,100,109
39,Rode Across the Desert,1,23,249887,100,60
40,Sandy,3,3,155742,100,36
41,Shake Your Foundations,11,1,233769,100,85
42,Sister Golden Hair,1,23,202057,100,60
43,Somebody To Love,1,1,297586,100,17
44,Stairway To Heaven,4,1,481567,100,93
45,Strangers in the Night,1,23,158484,100,42
46,Summer Nights,3,3,216973,100,35
47,Summer Wind,1,23,177554,100,46
48,Thats Life,1,23,189988,100,43
49,The Battle Of Evermore,4,1,351529,100,110
50,"The Blues ""Is""",6,14,252238,100,45
51,There it Is,6,14,395441,100,35
52,Think,6,14,320339,100,41
53,This Town,1,23,185051,100,44
54,Tin Man,1,23,210076,100,50
55,Track 01,55,14,261825,100,47
56,Track 02,55,14,165459,100,42
57,Track 03,55,14,206471,100,41
58,Messin with the Kid,58,14,226377,100,23
59,Track 04,55,14,257175,100,37
60,Stormy Monday,58,14,464143,100,29
61,Track 05,55,14,230295,100,42
62,Waiting on Ice,6,14,289384,100,37
63,War Pigs/Luke's Wall,9,9,478197,100,38
64,We Are The Champions,1,1,181864,100,24
65,We Will Rock You,1,1,123559,100,33
66,When Somebody Loves You,1,23,117263,100,43
67,When The Levee Breaks,4,1,427624,100,83
68,You are the One that I Want,3,3,169900,100,31
69,You Done Me Wrong,6,14,200097,100,35
70,You Shook Me All Night Long,11,1,210938,100,92
71,You're My Best Friend,1,1,172643,100,31
72,Zion,13,3,273528,100,47
73,Who Made Who,11,1,207203,100,110
74,D.T.,11,1,173714,NULL,90
75,Sink the Pink,11,1,253466,NULL,83
76,Ride On,11,1,351268,NULL,75
77,Chase the Ace,11,1,181420,NULL,93
78,Wollt Ihr Das Bett In Flammen Sehen,2,2,317387,NULL,50
79,Der Meister,2,2,250801,NULL,46
80,Weisses Fleisch,2,2,215902,NULL,52
81,Seemann,2,2,288235,NULL,34
82,Du Riechst So Gut,2,2,289332,NULL,50
83,Das Alte Leid,2,2,344581,NULL,46
84,Heirate Mich,2,2,284734,NULL,39
85,Herzeleid,2,2,223425,NULL,42
86,Baba O'Riley,86,1,298448,NULL,45
87,Bargain,86,1,331676,NULL,37
88,Love Ain't for Keeping,86,1,130560,NULL,24
89,My Wife,86,1,213786,NULL,17
90,The Song Is Over,86,1,375797,NULL,14
91,Getting In Tune,86,1,288809,NULL,27
92,Going Mobile,86,1,221910,100,28
93,Behind Blue Eyes,86,1,221570,NULL,43
94,Won't Get Fooled Again,86,1,511111,NULL,21
95,Folsom Prison Blues,95,95,170004,100,47
96,I Walk The Line,95,95,165720,100,33
97,Get Rhythm,95,95,134530,100,35
98,Big River,95,95,152711,NULL,51
99,Guess Things Happen That Way,95,95,111386,NULL,35
100,Ring Of Fire,95,95,157100,100,30
101,Jackson,95,95,166530,100,35
102,A Boy Named Sue (live),95,95,226063,NULL,37
103,You Raise Me Up,103,103,302262,NULL,9
104,"Hold On, I'm Coming",104,14,282566,100,34
105,Got my Mojo Working,104,14,310517,100,52
106,Sweet Home Chicago,104,14,375849,100,27
107,Heavy Love,104,14,253544,100,28
108,Cold Cold Feeling,104,14,261929,100,43
109,Lonely Avenue,104,14,292022,100,24
110,Good Morning Little Schoolgirl,104,14,278648,100,20
